,project_name,arrondissement,admin_sector,completion_date,operation_type,added_space_indicator,latitude,longitude
0,Transformation de la cour de l’espace Gabriel Lamé en jardin public,12,12,2025,New green space,830.0,48.834976658310495,2.421329277744818
1,Végétalisation du Centre Sportif Elisabeth,14,14,2023,New green space,243.0,48.829244193212126,2.3265422286675057
2,Renaturation du square Antoine Blondin,20,20,2022,New green space,949.0,48.863459779604064,2.40118906625761
3,Renaturation et extension du square des Périchaux (phase 2),15,15,2021,New green space,860.0,48.84008525119481,2.2928255212466246
4,Ouverture au public PC18 - Bvd Ornano / rue des Poissonniers,18,18,2024,New green space,13440.0,48.892569399896495,2.3481601182844147
5,Renaturation et extension du Jardin de la Nouvelle France,8,8,2024,New green space,2850.0,48.87272069484176,2.3125537466295403
6,Parking Parc Floral,12,12,2023,New green space,0.0,48.834976658310495,2.421329277744818
7,AAP Parisculteurs AUTRES - Tunnel Friant,14,14,2021,New green space,0.0,48.829244193212126,2.3265422286675057
8,Renaturation du jardin Curial,19,19,2025,New green space,515.0,48.8870753180744,2.384821497379384
9,Requalification de l'avenue du Général Eisenhower,8,8,2024,New green space,527.0,48.87272069484176,2.3125537466295403
10,Requalification de l'avenue Dutuit,8,8,2024,New green space,1845.0,48.87272069484176,2.3125537466295403
11,Extension du square Parodi et aménagement du parvis du Palais des Congrès,16,16,2024,New green space,20030.0,48.86039150932471,2.261969547034591
12,Ouverture au public PC18 - Gare de St Ouen / rue Vauvenargues,18,18,2023,New green space,2110.0,48.892569399896495,2.3481601182844147
13,BAILLEUR PARIS HABITAT,19,19,2023,New green space,0.0,48.8870753180744,2.384821497379384
14,Extension du jardin de la rue du Chalet,10,10,2025,New green space,499.0,48.87612989394597,2.3607286029649917
15,Réouverture au public Square Albert Schweitzer (Jardin de la CIA) - phase 2,4,Paris Centre,2021,New green space,554.0,48.854341396027905,2.3576299961837734
16,Requalification de l'avenue Edward Tuck,8,8,2024,New green space,1060.0,48.87272069484176,2.3125537466295403
17,Sécurisation du jardin de la villa d'Esté,13,13,2024,New green space,0.0,48.8283878832437,2.362272271931585
18,Renaturation du square Saint-Eloi,12,12,2025,New green space,210.0,48.834976658310495,2.421329277744818
19,Ouverture au public du jardin de la BNF site Richelieu,2,Paris Centre,2022,New green space,1660.0,48.868279334178844,2.3428027168449908
20,Extension et renaturation du square Marie Curie - phase 1,13,13,2025,New green space,3640.0,48.8283878832437,2.362272271931585
21,Requalification de la Plaine de Mortemart - Création d'une rivière,12,12,2025,New green space,48000.0,48.834976658310495,2.421329277744818
